latitude,longitude,public_positional_accuracy,scientific_name,common_name
37.787787,-122.480464,5,Lupinus bicolor,Miniature Lupine
37.788131,-122.479057,5,Frangula californica,coffeeberry
37.7883489384,-122.4789643475,5,Scrophularia californica,California beeplant
37.791942,-122.48418,5,Camissoniopsis cheiranthifolia,beach suncup
37.788191,-122.478914,21,Linaria texana,Texas toadflax
37.75361,-122.46369,5,Calystegia purpurata,Pacific False Bindweed
37.764794,-122.43809,5,Castilleja densiflora,dense-flowered owl's-clover
37.764864,-122.438205,5,Heteromeles arbutifolia,Toyon
37.764816,-122.437247,5,Plantago erecta,dot-seed plantain
37.749704,-122.446859,5,Sanicula arctopoides,Footsteps of spring
37.749767,-122.446705,5,Berberis pinnata,California barberry
37.749725,-122.446717,5,Muilla maritima,Sea Muilla
37.812144,-122.370148,5,Aesculus californica,California buckeye
37.740697,-122.445209,5,Festuca californica,California fescue
37.740611,-122.445297,5,Anaphalis margaritacea,pearly everlasting
37.740827,-122.445155,5,Iris douglasiana,Douglas iris
37.736977,-122.443857,5,Cirsium occidentale,Cobwebby Thistle
37.734416,-122.375185,5,Limonium californicum,Western Marsh Rosemary
37.713368,-122.480914,5,Aristolochia californica,California Dutchman's Pipe
37.743128,-122.415795,5,Primula clevelandii,Padre's Shooting Star
37.742702,-122.416346,5,Viola pedunculata,California Golden Violet
37.74293,-122.41638,5,Salvia spathacea,Hummingbird Sage
37.753838,-122.446753,5,Heracleum maximum,common cowparsnip
37.7544570901,-122.4473130238,5,Juncus patens,Spreading Rush
37.719537,-122.41647,47,Lomatium utriculatum,Foothill desert-parsley
37.7696666667,-122.4658333333,5,Heracleum maximum,common cowparsnip
37.720216,-122.41771,11,Rubus ursinus,trailing blackberry
37.720433,-122.418612,16,Artemisia californica,California sagebrush
37.719901,-122.418984,5,Baccharis pilularis,coyote brush
37.71684,-122.423577,5,Eschscholzia californica,California poppy
37.7209618315,-122.4148801715,28359,Erythranthe guttata,seep monkeyflower
37.718372,-122.411071,10,Matricaria discoidea,pineapple-weed
37.7198737767,-122.4190494978,5,Eschscholzia californica,California poppy
37.7197446116,-122.4194126019,5,Pinus,pines
37.719745,-122.419413,5,Baccharis pilularis,coyote brush
37.719674,-122.420242,5,Hesperocyparis macrocarpa,Monterey Cypress
37.71609515,-122.42502307,6,Toxicodendron diversilobum,Pacific poison oak
37.71727837,-122.42187782,9,Prunus ilicifolia,hollyleaf cherry
37.720328,-122.412555,5,Claytonia perfoliata,miner's lettuce
37.720915,-122.415069,30,Erythranthe guttata,seep monkeyflower
37.715612,-122.425262,5,Baccharis pilularis,coyote brush
37.7093398709,-122.517360161,5,Hesperocyparis macrocarpa,Monterey Cypress
37.721053,-122.415347,5,Achillea millefolium,common yarrow
37.7201294247,-122.417101795,5,Aesculus californica,California buckeye
37.7198293945,-122.4169222546,5,Quercus agrifolia,coast live oak
37.72089,-122.417848,5,Sisyrinchium bellum,western blue-eyed grass
37.7203545208,-122.4123506808,5,Eschscholzia californica,California poppy
37.720857,-122.415156,5,Ceanothus thyrsiflorus,blueblossom
37.72034,-122.417364,5,Heracleum maximum,common cowparsnip
37.720545,-122.417872,5,Quercus agrifolia,coast live oak
37.720897,-122.417959,5,Toxicodendron diversilobum,Pacific poison oak
37.720906,-122.417995,5,Baccharis pilularis,coyote brush
37.720731413,-122.417891035,5,Sisyrinchium bellum,western blue-eyed grass
37.719079,-122.4185,5,Matricaria discoidea,pineapple-weed
37.719588,-122.419098,5,Baccharis pilularis,coyote brush
37.719255,-122.422283,5,Achillea millefolium,common yarrow
37.720481,-122.423471,5,Chlorogalum pomeridianum,wavy-leafed soap plant
37.711818,-122.425562,5,Chlorogalum pomeridianum,wavy-leafed soap plant
37.71659002,-122.42474037,10,Baccharis pilularis,coyote brush
37.723284,-122.418729,5,Eschscholzia californica,California poppy
37.7223417443,-122.4181144127,5,Ceanothus thyrsiflorus,blueblossom
37.7228795691,-122.4190194068,5,Diplacus aurantiacus,orange bush monkeyflower
37.722932,-122.419058,5,Heracleum maximum,common cowparsnip
37.7188378667,-122.4092514833,47,Baccharis pilularis,coyote brush
37.718653,-122.409088,47,Eschscholzia californica,California poppy
37.718519,-122.408963,17,Eschscholzia californica,California poppy
37.71699355,-122.4110613667,17,Scrophularia californica,California beeplant
37.716968,-122.41104,47,Baccharis pilularis,coyote brush
37.7167923833,-122.4111267667,17,Chlorogalum pomeridianum,wavy-leafed soap plant
37.7166991667,-122.4112660167,47,Aesculus californica,California buckeye
37.721249,-122.423125,5,Sisyrinchium bellum,western blue-eyed grass
37.7212,-122.423032,5,Arbutus menziesii,Pacific madrone
37.72152607,-122.41846413,24,Claytonia perfoliata,miner's lettuce
37.72031468,-122.41245322,8,Eschscholzia californica,California poppy
37.71989649,-122.41168089,12,Claytonia perfoliata,miner's lettuce
37.7177803545,-122.4218565972,5,Toxicodendron diversilobum,Pacific poison oak
37.7211505501,-122.4175002706,5,Matricaria discoidea,pineapple-weed
37.720393,-122.417999,5,Eschscholzia californica,California poppy
37.720857,-122.417859,5,Sisyrinchium bellum,western blue-eyed grass
37.721011,-122.419338,5,Aesculus californica,California buckeye
37.720245,-122.42291,5,Sidalcea malviflora,checkerbloom
37.722263,-122.425142,5,Baccharis pilularis,coyote brush
37.723547,-122.424383,5,Achillea millefolium,common yarrow
37.7194023614,-122.4192470152,5,Hesperocyparis macrocarpa,Monterey Cypress
37.719284,-122.418502,5,Matricaria discoidea,pineapple-weed
37.719402,-122.419247,5,Baccharis pilularis,coyote brush
37.71465863,-122.42551504,3,Achillea millefolium,common yarrow
37.7125986,-122.42572185,3,Frangula californica,coffeeberry
37.7125655,-122.42515173,4,Wyethia angustifolia,narrowleaf mule-ears
37.71401974,-122.42565291,3,Triteleia laxa,Ithuriel's Spear
37.71435822,-122.42561015,3,Brodiaea terrestris terrestris,
37.71533973,-122.42536123,4,Artemisia californica,California sagebrush
37.71695436,-122.42587545,3,Taraxacum,dandelions
37.71686961,-122.42379103,4,Eschscholzia californica,California poppy
37.71690623,-122.42351217,3,Baccharis pilularis,coyote brush
37.71728899,-122.42234987,3,Hordeum,Barleys
37.719841,-122.411723,10,Polystichum munitum,western sword fern
37.7230364977,-122.4194688068,5,Artemisia californica,California sagebrush
37.723063,-122.419428,5,Equisetum telmateia,great horsetail
37.723049,-122.419285,5,Diplacus aurantiacus,orange bush monkeyflower
37.723046,-122.419376,5,Epilobium ciliatum,fringed willowherb
37.722852,-122.419184,30,Heracleum maximum,common cowparsnip
37.721021,-122.420765,5,Sidalcea malviflora,checkerbloom
37.723454,-122.419091,5,Equisetum telmateia,great horsetail
37.723115,-122.418787,5,Polystichum munitum,western sword fern
37.723112,-122.418839,5,Iris douglasiana,Douglas iris
37.723393,-122.418675,5,Diplacus aurantiacus,orange bush monkeyflower
37.71693334,-122.42469704,11,Rubus ursinus,trailing blackberry
37.719182,-122.418551,5,Hordeum,Barleys
37.719578,-122.419452,5,Eschscholzia californica,California poppy
37.719301,-122.422011,5,Achillea millefolium,common yarrow
37.71998,-122.422833,5,Eschscholzia californica,California poppy
37.71258414,-122.42508418,3,Wyethia angustifolia,narrowleaf mule-ears
37.71588696,-122.42526509,3,Triteleia laxa,Ithuriel's Spear
37.71696275,-122.42530146,3,Claytonia perfoliata,miner's lettuce
37.7155,-122.425597,5,Eriogonum latifolium,Seaside Buckwheat
37.712249,-122.426498,5,Baccharis pilularis,coyote brush
37.712665,-122.427108,5,Salix lasiolepis,Arroyo Willow
37.712945,-122.424585,5,Chlorogalum pomeridianum,wavy-leafed soap plant
37.713427,-122.424898,5,Achillea millefolium,common yarrow
37.714114,-122.425472,5,Eriophyllum staechadifolium,seaside woolly sunflower
37.71688417,-122.42441169,3,Eschscholzia californica,California poppy
37.7205674211,-122.4234211632,5,Eriogonum latifolium,Seaside Buckwheat
37.7205936984,-122.4235120231,5,Chlorogalum pomeridianum,wavy-leafed soap plant
37.721819,-122.423074,10,Baccharis pilularis,coyote brush
37.720883,-122.421023,5,Calystegia subacaulis,Hillside False Bindweed
37.720883,-122.421023,5,Chlorogalum pomeridianum,wavy-leafed soap plant
37.720693,-122.420653,5,Sidalcea malviflora,checkerbloom
37.720693,-122.420653,5,Achillea millefolium,common yarrow
37.7207686706,-122.4209283852,5,Allium dichlamydeum,coastal onion
37.720877,-122.41505,5,Equisetum arvense,field horsetail
37.72083,-122.417922,5,Sisyrinchium bellum,western blue-eyed grass
37.720572,-122.415197,10,Oenothera elata,tall evening primrose
37.720746,-122.415089,10,Cornus sericea,red osier dogwood
37.720201,-122.416199,5,Heracleum maximum,common cowparsnip
37.720166,-122.417099,5,Morella californica,Pacific Wax myrtle
37.720112,-122.417444,5,Tellima grandiflora,fringe cups
37.720176,-122.417399,10,Polystichum munitum,western sword fern
37.720173,-122.417468,5,Aquilegia formosa,western columbine
37.720173,-122.417468,5,Aesculus californica,California buckeye
37.720183,-122.417418,5,Heteromeles arbutifolia,Toyon
37.721496,-122.420535,5,Rhus integrifolia,lemonade berry
37.721692,-122.42072,5,Diplacus aurantiacus,orange bush monkeyflower
37.7236139835,-122.4188165646,5,Heteromeles arbutifolia,Toyon
37.722413256,-122.4183529415,28359,Erythranthe guttata,seep monkeyflower
37.721159,-122.412907,5,Toxicodendron diversilobum,Pacific poison oak
37.718827,-122.414661,5,Baccharis pilularis,coyote brush
37.717647,-122.414098,5,Triteleia laxa,Ithuriel's Spear
37.718684,-122.409474,5,Eschscholzia californica,California poppy
37.7185972128,-122.4092787971,5,Eriogonum latifolium,Seaside Buckwheat
37.7186188382,-122.4093730935,5,Eschscholzia californica,California poppy
37.7176294383,-122.4220857584,5,Prunus ilicifolia,hollyleaf cherry
37.717904,-122.421625,5,Toxicodendron diversilobum,Pacific poison oak
37.7174483473,-122.422193885,5,Baccharis pilularis,coyote brush
37.717161,-122.425122,5,Pinus radiata,Monterey pine
37.7158839489,-122.4251029083,5,Chlorogalum pomeridianum,wavy-leafed soap plant
37.715723,-122.425213,5,Symphyotrichum chilense,Pacific Aster
37.715525,-122.42491,5,Scrophularia californica,California beeplant
37.7155658137,-122.4251261262,5,Eschscholzia californica,California poppy
37.715566,-122.425126,5,Eriogonum latifolium,Seaside Buckwheat
37.7154807374,-122.4250562211,5,Monardella villosa,Coyote Mint
37.715481,-122.425056,5,Achillea millefolium,common yarrow
37.7153440286,-122.4252650143,5,Calystegia subacaulis,Hillside False Bindweed
37.714612,-122.425315,13,Epilobium canum,California fuchsia
37.714511,-122.425376,5,Heracleum maximum,common cowparsnip
37.714511,-122.425376,5,Aesculus californica,California buckeye
37.714250777,-122.425415218,5,Sisyrinchium bellum,western blue-eyed grass
37.714267,-122.425453,5,Allium dichlamydeum,coastal onion
37.7139232541,-122.4254375139,5,Eriophyllum staechadifolium,seaside woolly sunflower
37.713937,-122.425634,5,Triteleia laxa,Ithuriel's Spear
37.711807,-122.427553,5,Hordeum,Barleys
37.711762,-122.424346,5,Hesperocyparis macrocarpa,Monterey Cypress
37.712634,-122.424947,5,Wyethia angustifolia,narrowleaf mule-ears
37.712777,-122.424685,5,Polypodium californicum,California Polypody
37.715294,-122.425059,5,Dudleya farinosa,Bluff Lettuce
37.717307,-122.422749,5,Heteromeles arbutifolia,Toyon
37.718028,-122.420738,5,Stachys rigida,Rough Hedgenettle
37.717888,-122.42,5,Claytonia perfoliata,miner's lettuce
37.7180620702,-122.4127354101,5,Diplacus aurantiacus,orange bush monkeyflower
37.71342219,-122.42515216,8,Brodiaea terrestris terrestris,
37.71326031,-122.42441795,5,Chlorogalum pomeridianum,wavy-leafed soap plant
37.71200693,-122.4256343,5,Triteleia laxa,Ithuriel's Spear
37.71190768,-122.42549705,5,Lupinus albifrons,Silver Bush Lupine
37.7121005,-122.42526674,10,Triteleia laxa,Ithuriel's Spear
37.71444465,-122.42530947,26,Epilobium canum,California fuchsia
37.715325,-122.42535136,12,Artemisia californica,California sagebrush
37.71558956,-122.42524795,9,Symphyotrichum chilense,Pacific Aster
37.7155535,-122.42514502,7,Eschscholzia californica,California poppy
37.71595659,-122.42521476,6,Chlorogalum pomeridianum,wavy-leafed soap plant
37.71709934,-122.42549659,8,Pinus radiata,Monterey pine
37.71682307,-122.42380503,10,Eschscholzia californica,California poppy
37.714265,-122.425384,4,Allium dichlamydeum,coastal onion
37.718016,-122.408729,5,Elymus elymoides,Squirreltail
37.716729,-122.413034,5,Sambucus cerulea,blue elder
37.7178285923,-122.4218918012,5,Toxicodendron diversilobum,Pacific poison oak
37.717661,-122.421808,5,Toxicodendron diversilobum,Pacific poison oak
37.717315,-122.422382,5,Heteromeles arbutifolia,Toyon
37.717025,-122.423262,5,Artemisia californica,California sagebrush
37.71702,-122.423572,5,Eschscholzia californica,California poppy
37.717057,-122.425465,5,Pinus radiata,Monterey pine
37.716138,-122.425714,5,Chlorogalum pomeridianum,wavy-leafed soap plant
37.714617,-122.425378,5,Achillea millefolium,common yarrow
37.712766,-122.427553,5,Juncus patens,Spreading Rush
37.71209931,-122.4272074365,5,Allium dichlamydeum,coastal onion
37.712056,-122.426632,5,Calystegia subacaulis,Hillside False Bindweed
37.712056,-122.426632,5,Calystegia subacaulis,Hillside False Bindweed
37.719335,-122.422237,5,Achillea millefolium,common yarrow
37.723311,-122.418801,2,Equisetum telmateia,great horsetail
37.72315,-122.419292,8,Quercus agrifolia,coast live oak
37.723244,-122.418659,2,Epilobium ciliatum,fringed willowherb
37.720791,-122.418063,16,Scrophularia californica,California beeplant
37.721638,-122.418326,16,Claytonia perfoliata,miner's lettuce
37.722031,-122.418235,8,Heteromeles arbutifolia,Toyon
37.722334,-122.419133,8,Salix lasiolepis,Arroyo Willow
37.720137,-122.418173,4,Sidalcea malviflora,checkerbloom
37.720125,-122.418157,8,Eschscholzia californica,California poppy
37.723228,-122.419281,8,Polystichum munitum,western sword fern
37.719264,-122.417197,8,Baccharis pilularis,coyote brush
37.72064,-122.418735,4,Carex densa,dense sedge
37.718217,-122.420247,26,Dudleya farinosa,Bluff Lettuce
37.718616,-122.420214,26,Chlorogalum pomeridianum,wavy-leafed soap plant
37.718039,-122.409378,26,Triteleia laxa,Ithuriel's Spear
37.741545,-122.414169,5,Aesculus californica,California buckeye
37.741575,-122.414208,5,Quercus agrifolia,coast live oak
37.7422969842,-122.4139075552,5,Eschscholzia californica,California poppy
37.742257,-122.413067,5,Heracleum maximum,common cowparsnip
37.742257,-122.413067,5,Achillea millefolium,common yarrow
37.764908,-122.437937,7,Quercus agrifolia,coast live oak
37.764955,-122.437895,5,Aesculus californica,California buckeye
37.764913,-122.437933,5,Toxicodendron diversilobum,Pacific poison oak
37.743824,-122.413843,5,Pentagramma triangularis,goldback fern
37.770508,-122.461227,5,Diplacus aurantiacus,orange bush monkeyflower
37.769897,-122.466591,5,Polystichum munitum,western sword fern
37.7699262696,-122.466407586,5,Prunella vulgaris,common selfheal
37.785413,-122.402461,5,Aesculus californica,California buckeye
37.7689734567,-122.4724761677,5,Lupinus arboreus,coastal bush lupine
37.720923,-122.415226,8,Veronica,speedwells
37.738463,-122.374919,5,Frankenia salina,Alkali Heath
37.753553,-122.400198,5,Triteleia laxa,Ithuriel's Spear
37.7937416872,-122.4554333278,5,Trifolium wormskioldii,springbank clover
37.7926255949,-122.4555475732,5,Cyperus eragrostis,tall flatsedge
37.720403,-122.42335,5,Eriogonum latifolium,Seaside Buckwheat
37.754267,-122.399958,5,Clarkia rubicunda,ruby chalice clarkia
37.7535316524,-122.4003781535,5,Triteleia laxa,Ithuriel's Spear
37.7537204469,-122.4001758913,5,Calystegia subacaulis,Hillside False Bindweed
37.7208,-122.417883,5,Sisyrinchium bellum,western blue-eyed grass
37.721447,-122.417684,5,Claytonia perfoliata,miner's lettuce
37.723278,-122.418791,5,Typha latifolia,broad-leaved cattail
37.769362,-122.471849,5,Lupinus arboreus,coastal bush lupine
37.804732,-122.464986,26,Camissoniopsis cheiranthifolia,beach suncup
37.804647,-122.464482,26,Eriophyllum staechadifolium,seaside woolly sunflower
37.720604,-122.420696,10,Allium dichlamydeum,coastal onion
37.722378,-122.4186,28359,Erythranthe guttata,seep monkeyflower
37.720908,-122.420773,10,Triteleia laxa,Ithuriel's Spear
37.716442,-122.501709,5,Baccharis pilularis,coyote brush
37.716941,-122.502238,5,Fragaria chiloensis,beach strawberry
37.716902,-122.502328,5,Agoseris apargioides,seaside agoseris
37.716966,-122.502322,5,Camissoniopsis cheiranthifolia,beach suncup
37.720639,-122.504147,5,Polygonum paronychia,beach knotweed
37.720639,-122.504147,5,Artemisia pycnocephala,coastal sagewort
37.720736,-122.504222,5,Eriophyllum staechadifolium,seaside woolly sunflower
37.720736,-122.504222,5,Camissoniopsis cheiranthifolia,beach suncup
37.720718,-122.504184,5,Armeria maritima californica,California Thrift
37.720887,-122.50474,5,Poa douglasii,sanddune bluegrass
37.72117,-122.504649,5,Abronia latifolia,Yellow Sand Verbena
37.725304,-122.505727,5,Leymus mollis,American lyme grass
37.72534,-122.505479,5,Dudleya farinosa,Bluff Lettuce
37.725262,-122.504189,5,Camissoniopsis micrantha,miniature suncup
37.725101,-122.504116,5,Cirsium occidentale,Cobwebby Thistle
37.7243720089,-122.503702948,5,Pteridium aquilinum,common bracken
37.7238620539,-122.5036118367,5,Eschscholzia californica,California poppy
37.768857,-122.513397,6,Zostera marina,Eelgrass
37.720169,-122.419167,10,Eschscholzia californica,California poppy
37.75201,-122.468545,5,Gilia capitata,bluehead gilia
37.741224,-122.442069,9,Baccharis pilularis,coyote brush
37.721058,-122.416012,30,Prunella vulgaris,common selfheal
37.753333,-122.448221,5,Toxicodendron diversilobum,Pacific poison oak
37.752738,-122.447585,8,Fragaria chiloensis,beach strawberry
37.768879,-122.470198,5,Woodwardia fimbriata,giant chain fern
37.767552,-122.467672,5,Taraxacum,dandelions
37.720284,-122.503429,5,Achillea millefolium,common yarrow
37.720071,-122.503474,5,Baccharis pilularis,coyote brush
37.719709819,-122.5034017538,5,Baccharis pilularis,coyote brush
37.719484,-122.503341,5,Baccharis pilularis,coyote brush
37.719577,-122.503377,5,Baccharis pilularis,coyote brush
37.720002,-122.503594,5,Ericameria ericoides,California Goldenbush
37.712103,-122.500941,5,Fragaria chiloensis,beach strawberry
37.712246,-122.501691,5,Lupinus chamissonis,Chamisso Bush Lupine
37.712086,-122.500972,5,Tanacetum bipinnatum,dune tansy
37.712115,-122.500919,5,Erigeron glaucus,seaside daisy
37.712473,-122.501825,5,Achillea millefolium,common yarrow
37.7155150194,-122.502674237,5,Agoseris apargioides,seaside agoseris
37.7205813905,-122.5037187238,5,Agoseris apargioides,seaside agoseris
37.721536,-122.504025,5,Pseudognaphalium stramineum,cottonbatting plant
37.7215430738,-122.5041761014,5,Camissoniopsis cheiranthifolia cheiranthifolia,Beach evening-primrose
37.717459,-122.502841,5,Hesperocyparis macrocarpa,Monterey Cypress
37.724214,-122.504912,5,Abronia latifolia,Yellow Sand Verbena
37.724258,-122.505199,5,Tanacetum bipinnatum,dune tansy
37.724541861,-122.5053484015,5,Acmispon glaber,deerweed
37.72158518,-122.50397891,9,Lupinus arboreus,coastal bush lupine
37.72073298,-122.50336886,10,Pteridium aquilinum,common bracken
37.71934469,-122.50317797,6,Fragaria chiloensis,beach strawberry
37.720853,-122.504299,5,Diplacus aurantiacus,orange bush monkeyflower
37.720125,-122.500832,5,Rosa californica,California Wild Rose
37.720812,-122.504186,5,Dudleya farinosa,Bluff Lettuce
37.7214171365,-122.5045056829,5,Abronia latifolia,Yellow Sand Verbena
37.720122,-122.500906,5,Toxicodendron diversilobum,Pacific poison oak
37.7250278885,-122.5052446222,5,Dudleya farinosa,Bluff Lettuce
37.725592462,-122.505015453,5,Lupinus arboreus,coastal bush lupine
37.7255222508,-122.5048377575,5,Polygonum paronychia,beach knotweed
37.724483,-122.50525,5,Erigeron glaucus,seaside daisy
37.72453,-122.50526,5,Camissoniopsis cheiranthifolia,beach suncup
37.7245057421,-122.5052476489,5,Camissoniopsis cheiranthifolia,beach suncup
37.724525,-122.505259,5,Fragaria chiloensis,beach strawberry
37.724766,-122.505398,5,Scrophularia californica,California beeplant
37.724128,-122.504592,5,Baccharis pilularis,coyote brush
37.724257,-122.504546,5,Baccharis pilularis,coyote brush
37.724969,-122.504022,5,Frangula californica,coffeeberry
37.7249857318,-122.5040221309,5,Solanum americanum,American black nightshade
37.724959,-122.504011,5,Rubus ursinus macropetalus,California blackberry
37.724935,-122.504005,5,Diplacus aurantiacus,orange bush monkeyflower
37.715419,-122.498661,5,Lupinus arboreus,coastal bush lupine
37.715149,-122.498622,5,Baccharis pilularis,coyote brush
37.713762,-122.499384,5,Ceanothus thyrsiflorus,blueblossom
37.724525892,-122.5049931507,5,Astragalus nuttallii virgatus,
37.7204502421,-122.5030931645,5,Pseudognaphalium stramineum,cottonbatting plant
37.720796,-122.503195,5,Pteridium aquilinum,common bracken
37.720796,-122.503195,5,Eriogonum latifolium,Seaside Buckwheat
37.7206286509,-122.5035613776,5,Agoseris apargioides,seaside agoseris
37.72158,-122.504122,5,Lupinus arboreus,coastal bush lupine
37.7242643433,-122.5051398576,5,Tanacetum bipinnatum,dune tansy
37.7242781315,-122.5053764788,5,Artemisia pycnocephala,coastal sagewort
37.7243393194,-122.5050220919,5,Abronia latifolia,Yellow Sand Verbena
37.724876,-122.505155,5,Erigeron glaucus,seaside daisy
37.7248523757,-122.5051665121,5,Dudleya farinosa,Bluff Lettuce
